0 Q0 219 1 41.903999 Anserini
0 Q0 156 2 40.838600 Anserini
0 Q0 35 3 40.571098 Anserini
0 Q0 1384 4 40.431599 Anserini
0 Q0 2715 5 40.298100 Anserini
1 Q0 2458 1 32.824799 Anserini
1 Q0 180 2 28.843800 Anserini
1 Q0 1437 3 28.664400 Anserini
1 Q0 411 4 28.309500 Anserini
1 Q0 3590 5 27.884701 Anserini
2 Q0 1801 1 33.073200 Anserini
2 Q0 435 2 32.384899 Anserini
2 Q0 522 3 31.696301 Anserini
2 Q0 3503 4 31.479700 Anserini
2 Q0 781 5 31.384300 Anserini
3 Q0 606 1 29.600500 Anserini
3 Q0 820 2 25.728399 Anserini
3 Q0 1919 3 25.612000 Anserini
3 Q0 1777 4 25.299801 Anserini
3 Q0 150 5 25.223700 Anserini
4 Q0 3468 1 28.893600 Anserini
4 Q0 629 2 28.816799 Anserini
4 Q0 1587 3 28.765699 Anserini
4 Q0 750 4 27.130800 Anserini
4 Q0 1243 5 26.493900 Anserini
5 Q0 2081 1 100.151299 Anserini
5 Q0 3281 2 97.147903 Anserini
5 Q0 949 3 94.837502 Anserini
5 Q0 1720 4 94.518501 Anserini
5 Q0 890 5 93.697403 Anserini
6 Q0 1398 1 57.885201 Anserini
6 Q0 765 2 48.289200 Anserini
6 Q0 936 3 48.289200 Anserini
6 Q0 2597 4 48.035801 Anserini
6 Q0 3684 5 48.035801 Anserini
7 Q0 2407 1 52.815201 Anserini
7 Q0 3494 2 48.973400 Anserini
7 Q0 1469 3 48.628399 Anserini
7 Q0 1693 4 47.625999 Anserini
7 Q0 3554 5 47.502800 Anserini
8 Q0 1266 1 145.691101 Anserini
8 Q0 1349 2 139.225494 Anserini
8 Q0 2320 3 135.509399 Anserini
8 Q0 1423 4 132.936600 Anserini
8 Q0 581 5 132.143295 Anserini
9 Q0 1246 1 73.935799 Anserini
9 Q0 1561 2 67.331398 Anserini
9 Q0 1248 3 66.643997 Anserini
9 Q0 1588 4 65.285500 Anserini
9 Q0 3420 5 64.873703 Anserini
10 Q0 3018 1 66.811897 Anserini
10 Q0 344 2 65.004898 Anserini
10 Q0 2730 3 63.140400 Anserini
10 Q0 2543 4 63.063900 Anserini
10 Q0 3134 5 63.063900 Anserini
11 Q0 3878 1 36.658001 Anserini
11 Q0 3128 2 34.889099 Anserini
11 Q0 425 3 30.855000 Anserini
11 Q0 1914 4 30.081100 Anserini
11 Q0 989 5 29.336100 Anserini
12 Q0 403 1 63.554298 Anserini
12 Q0 3348 2 61.943901 Anserini
12 Q0 1227 3 61.603199 Anserini
12 Q0 92 4 59.671200 Anserini
12 Q0 3407 5 57.620201 Anserini
13 Q0 1950 1 63.435501 Anserini
13 Q0 3953 2 52.068401 Anserini
13 Q0 734 3 51.899300 Anserini
13 Q0 92 4 51.569199 Anserini
13 Q0 3692 5 50.516201 Anserini
14 Q0 333 1 57.104801 Anserini
14 Q0 1842 2 53.585999 Anserini
14 Q0 3343 3 52.555000 Anserini
14 Q0 2408 4 51.218201 Anserini
14 Q0 1215 5 51.145802 Anserini
15 Q0 1658 1 44.896599 Anserini
15 Q0 1320 2 44.177601 Anserini
15 Q0 3240 3 43.460701 Anserini
15 Q0 2180 4 43.325298 Anserini
15 Q0 1026 5 42.383701 Anserini
16 Q0 1398 1 40.149101 Anserini
16 Q0 1782 2 34.442600 Anserini
16 Q0 2024 3 32.360401 Anserini
16 Q0 187 4 31.979099 Anserini
16 Q0 3399 5 31.309401 Anserini
17 Q0 3699 1 53.334000 Anserini
17 Q0 1222 2 49.936798 Anserini
17 Q0 2592 3 47.612202 Anserini
17 Q0 3259 4 45.828400 Anserini
17 Q0 503 5 45.432201 Anserini
18 Q0 1600 1 74.809303 Anserini
18 Q0 3112 2 68.165100 Anserini
18 Q0 2742 3 65.911201 Anserini
18 Q0 1128 4 64.473900 Anserini
18 Q0 2729 5 64.038300 Anserini
19 Q0 708 1 34.539501 Anserini
19 Q0 29 2 34.264198 Anserini
19 Q0 2987 3 32.043201 Anserini
19 Q0 3050 4 31.377899 Anserini
19 Q0 3143 5 29.434601 Anserini
20 Q0 3534 1 67.754700 Anserini
20 Q0 983 2 64.421600 Anserini
20 Q0 606 3 62.948299 Anserini
20 Q0 1671 4 59.990398 Anserini
20 Q0 2400 5 59.445099 Anserini
21 Q0 2539 1 64.792198 Anserini
21 Q0 3519 2 63.822800 Anserini
21 Q0 3783 3 58.379501 Anserini
21 Q0 430 4 55.760201 Anserini
21 Q0 2743 5 55.310699 Anserini
